NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (Ops/s),AttPerf (Ops/s),Execution Time (s)
4,56,16,2,85.07000000000001,0.005596704616539476,11,32780.0,19286,616.0,0.545727221279004,12523376623.376623,2728636106.39502,7.067999999999999e-06
4,64,16,2,85.00999999999999,0.005473547521266156,11,34188.0,19990,704.0,0.5439751823228475,11357954545.454546,2719875911.6142373,7.349600000000001e-06
4,72,16,2,85.13,0.005384037452694623,11,35596.0,20694,792.0,0.5423524478456861,10451515151.515152,2711762239.2284307,7.631199999999999e-06
4,80,16,2,85.05,0.005319334578644288,11,37004.0,21398,880.0,0.5408452128197351,9726363636.363636,2704226064.0986753,7.912800000000002e-06
4,88,16,2,84.84,0.005442810276908114,10,34920.0,20372,880.0,0.5435432230522945,9260000000.0,2717716115.2614727,7.496e-06
4,96,16,2,85.07000000000001,0.005263278083242114,11,39820.0,22806,1056.0,0.5381311939594148,8638636363.636364,2690655969.797074,8.476000000000002e-06
4,12,16,8,85.22999999999999,0.005840612549735471,13,36842.0,21402,156.0,0.5431703974417542,54876923076.92307,2715851987.208771,7.8804e-06
4,14,16,8,85.09,0.005911071766262802,11,32582.0,19286,154.0,0.5488020033008936,50093506493.50649,2744010016.504468,7.028399999999999e-06
4,16,16,8,85.15,0.005755948137824899,11,33990.0,19990,176.0,0.546922024623803,45431818181.818184,2734610123.119015,7.3099999999999995e-06
4,18,16,8,84.82,0.005742486460344984,10,32180.0,19092,180.0,0.5495682210708117,42426666666.666664,2747841105.3540587,6.948e-06
4,20,16,8,85.07000000000001,0.005460076031374397,11,36806.0,21398,220.0,0.543565513387187,38905454545.454544,2717827566.9359345,7.8732e-06
4,22,16,8,85.11999999999999,0.00534392443492524,11,38214.0,22102,242.0,0.5420611173787218,36532231404.95868,2710305586.8936086,8.1548e-06
4,24,16,8,85.07000000000001,0.005263278083242114,11,39622.0,22806,264.0,0.5406571523398606,34554545454.545456,2703285761.6993027,8.436400000000001e-06
4,6,16,16,85.1,0.0059740359153931345,13,36803.0,21402,78.0,0.543708558798872,109753846153.84615,2718542793.99436,7.8726e-06
4,7,16,16,84.93,0.005779533256362324,13,38467.0,22234,91.0,0.5419357983766788,97731868131.86813,2709678991.8833942,8.2054e-06
4,8,16,16,85.09,0.00586678114476249,11,33957.0,19990,88.0,0.547416271873374,90863636363.63637,2737081359.3668704,7.303399999999999e-06
4,9,16,16,84.99,0.005843743943800592,10,32150.0,19092,90.0,0.5500432152117546,84853333333.33333,2750216076.058773,6.941999999999999e-06
4,10,16,16,85.31,0.005682556249152372,10,33430.0,19732,100.0,0.548263406501806,78928000000.0,2741317032.5090303,7.1979999999999995e-06
4,11,16,16,85.06,0.005542709405326512,10,34710.0,20372,110.0,0.5466058492084787,74080000000.0,2733029246.042393,7.454e-06
4,12,16,16,85.07000000000001,0.005263278083242114,11,39589.0,22806,132.0,0.5410804526797789,69109090909.09091,2705402263.3988943,8.4298e-06
4,3,16,32,85.49,0.005938075421212994,14,39613.0,22812,56.0,0.5409148033101747,162942857142.85715,2704574016.5508738,8.4346e-06
4,4,16,32,85.39,0.005763372041710546,12,37026.0,21528,48.0,0.5438286262820189,179400000000.0,2719143131.4100943,7.917200000000001e-06
4,5,16,32,85.24000000000001,0.005708881851773822,10,33415.0,19732,50.0,0.5484920083391244,157856000000.0,2742460041.695622,7.195e-06
4,6,16,32,85.07000000000001,0.005263278083242114,11,39572.5,22806,66.0,0.5412923515101169,138218181818.18182,2706461757.5505843,8.4265e-06
4,2,16,64,85.11999999999999,0.005583152013007547,13,40101.75,23066,52.0,0.5406716789630055,177430769230.76923,2703358394.8150277,8.53235e-06
4,3,16,64,85.07000000000001,0.005263278083242114,11,39564.25,22806,44.0,0.5413983631756055,207327272727.27274,2706991815.8780274,8.42485e-06
4,1,16,192,85.07000000000001,0.005263278083242114,11,39558.75,22806,44.0,0.5414690606914973,207327272727.27274,2707345303.457486,8.42375e-06
1,48,32,2,84.82,0.0059388653693904616,22,40172.0,22828,1056.0,0.534213235982402,8646969696.969696,2671066179.91201,8.546399999999998e-06
1,56,32,2,84.81,0.005783464243724566,22,42988.0,24236,1232.0,0.5320980064986388,7868831168.831168,2660490032.493194,9.1096e-06
1,64,32,2,84.91,0.005643158610980591,22,45804.0,25644,1408.0,0.5302290960218344,7285227272.727273,2651145480.1091723,9.6728e-06
1,72,32,2,85.03,0.00561862101510752,21,46410.0,25962,1512.0,0.5301613232591382,6868253968.253968,2650806616.295691,9.794000000000001e-06
1,80,32,2,84.82,0.005517284482012518,22,51436.0,28460,1760.0,0.5270760797096081,6468181818.181819,2635380398.5480404,1.0799200000000002e-05
1,88,32,2,84.83000000000001,0.005414406339217732,23,56718.0,31086,2024.0,0.5244104052093526,6143478260.869565,2622052026.046763,1.1855599999999999e-05
1,96,32,2,85.02,0.005089293930324072,28,72632.0,38968,2688.0,0.5182466219810619,5798809523.809525,2591233109.905309,1.50384e-05
