NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,BRAM Usage,Simulated Ncycles,Simulated Execution Time (s)
24,11,2,16,85.15,0.0053156315144602,29,53215.0,104168,696,1.8676467951591216,22.45,18.676467951591217,5.577499999999999e-06,272,48,742,4.946666666666667e-06
24,4,2,32,85.18,0.0054863154614141,37,53631.5,104488,888,1.8594983227000526,17.65,17.65,5.920000000000001e-06,432,80,936,6.24e-06
24,5,2,32,85.18,0.005687432514735,26,44343.0,86736,624,1.8492633733449886,20.85,18.492633733449885,4.6903e-06,432,80,662,4.413333333333333e-06
24,2,2,64,85.22,0.005979135034935,27,39116.25,76248,648,1.8295312078222008,17.65,17.65,4.32e-06,752,144,685,4.5666666666666664e-06
32,48,2,2,85.18,0.0055743736174724,30,40320.0,77040,1440,1.796641791044776,8.025,8.025,9.6e-06,132,20,1505,1.0033333333333333e-05
32,56,2,2,85.22,0.0054921886522447,28,41216.0,79072,1568,1.8062865497076024,7.564285714285715,7.564285714285715,1.0453333333333332e-05,132,20,1631,1.0873333333333333e-05
32,64,2,2,85.28999999999999,0.0057884033121653,21,33600.0,64680,1344,1.788716814159292,7.21875,7.21875,8.96e-06,132,20,1400,9.333333333333333e-06
32,72,2,2,85.24000000000001,0.0053695245841856,26,44928.0,86736,1872,1.8264824797843666,6.95,6.95,1.248e-05,132,20,1933,1.2886666666666666e-05
32,80,2,2,85.2,0.0052522083847303,27,50112.0,96984,2160,1.8412818955042527,6.735,6.735,1.44e-05,132,20,2222,1.4813333333333333e-05
32,88,2,2,85.34,0.0056870237668154,20,39680.0,76960,1760,1.821969696969697,6.559090909090909,6.559090909090909,1.1733333333333333e-05,132,20,1815,1.21e-05
32,96,2,2,85.55,0.005673088727819,20,42240.0,82080,1920,1.832142857142857,6.4125,6.4125,1.28e-05,132,20,1975,1.3166666666666667e-05
32,14,2,8,85.50999999999999,0.0059446614377939,26,37804.0,73424,832,1.819046675255178,13.2375,13.2375,5.546666666666666e-06,192,32,877,5.846666666666667e-06
32,16,2,8,85.52,0.005783032229632,26,41132.0,80080,832,1.8328298086606243,14.4375,14.4375,5.546666666666667e-06,192,32,879,5.86e-06
32,18,2,8,85.26,0.0055081054202901,28,47880.0,93408,896,1.8518636003172086,15.6375,15.6375,5.973333333333334e-06,192,32,947,6.313333333333334e-06
