NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage
12,8,4,16,85.15,0.0059976233856761,11,41387.0,34136,132.0,0.7767538170978678,103.44242424242424,7.767538170978678,4.3947000000000005e-06,1032
12,9,4,16,85.54,0.0059746274128243,11,39698.5,36952,132.0,0.8744276299442716,111.97575757575756,8.744276299442715,4.22585e-06,1032
12,10,4,16,85.26,0.0058939582162375,10,42095.0,36432,120.0,0.815854887470608,121.44,8.15854887470608,4.4655e-06,1032
12,11,4,16,85.39,0.0059894053198395,9,39866.0,35400,112.0,0.8343940036769906,126.42857142857142,8.343940036769906,4.2426e-06,1032
12,12,4,16,85.56,0.0059365050605759,9,41718.5,37704,112.0,0.8515193604119381,134.65714285714287,8.51519360411938,4.42785e-06,1032
12,3,4,32,85.57000000000001,0.0059203536412918,16,46233.25,40064,192.0,0.8210971804501648,83.46666666666665,8.210971804501648,4.879325e-06,1800
12,4,4,32,85.63,0.0058622655755681,13,44941.25,39784,156.0,0.8375358543196232,102.0102564102564,8.375358543196231,4.750125e-06,1800
12,5,4,32,85.42,0.0058637643224792,11,43759.0,39768,132.0,0.8585677583712947,120.5090909090909,8.585677583712947,4.6319000000000005e-06,1800
12,6,4,32,85.56,0.0059365050605759,9,41686.25,37704,112.0,0.8521400118654123,134.65714285714287,8.521400118654123,4.424625e-06,1800
12,2,4,64,85.21,0.005268209212103,18,65562.5,53904,216.0,0.7912804139601454,99.82222222222222,7.912804139601453,6.81225e-06,3336
12,3,4,64,85.56,0.0059365050605759,9,41670.125,37704,112.0,0.852450676998991,134.65714285714287,8.52450676998991,4.4230125e-06,3336
12,1,4,192,85.56,0.0059365050605759,9,41659.375,37704,112.0,0.8526579129623609,134.65714285714287,8.52657912962361,4.4219375e-06,9480
16,48,4,2,85.28,0.0057964602097675,10,34328.0,28752,480.0,0.7794404684450228,23.96,7.794404684450228,3.6888e-06,360
16,56,4,2,85.38,0.005816816495451,9,34034.0,28488,504.0,0.7784882767666831,22.60952380952381,7.784882767666831,3.6594e-06,360
16,64,4,2,85.33,0.0056020034053768,9,39388.0,30792,576.0,0.73405168303614,21.383333333333336,7.3405168303614,4.1948e-06,360
16,72,4,2,85.33,0.0054869425277516,9,43434.0,33096,648.0,0.7195721181023612,20.42962962962963,7.195721181023612,4.5993999999999995e-06,360
16,80,4,2,85.19,0.0054220511402448,9,46698.0,35400,720.0,0.7186649884282756,19.666666666666664,7.186649884282756,4.9258e-06,360
16,88,4,2,85.31,0.0053839771834713,9,49962.0,37704,792.0,0.7178706066029473,19.042424242424243,7.1787060660294735,5.2521999999999995e-06,360
16,96,4,2,85.28999999999999,0.0053707562726409,9,53226.0,40008,864.0,0.7171691822321012,18.522222222222226,7.171691822321012,5.5786e-06,360
16,12,4,8,85.17,0.0059044151267517,13,39761.0,36456,208.0,0.8614163181399306,70.10769230769232,8.614163181399306,4.2321e-06,648
16,14,4,8,85.18,0.0058421573910342,11,41474.0,34136,176.0,0.7752191488395331,77.58181818181819,7.752191488395331,4.4034e-06,648
16,16,4,8,85.33,0.0058014823965023,10,40516.0,33872,160.0,0.7863311356671928,84.68,7.863311356671928,4.3076e-06,648
16,18,4,8,85.44,0.0059847321616368,9,35442.0,33096,162.0,0.8709015314983422,81.71851851851852,8.709015314983422,3.800200000000001e-06,648
16,20,4,8,85.69,0.0058228820263994,9,39031.0,35400,180.0,0.8511456805558895,78.66666666666666,8.511456805558895,4.1591000000000005e-06,648
16,22,4,8,85.25,0.0055264700938967,9,47573.0,37704,198.0,0.7520794686134881,76.16969696969697,7.520794686134881,5.0133e-06,648
16,24,4,8,85.28999999999999,0.0053707562726409,9,52767.0,40008,216.0,0.7231189112006796,74.08888888888889,7.231189112006796,5.5327e-06,648
16,6,4,16,85.25,0.0059241814964129,14,43562.5,39024,224.0,0.8460946392758415,69.68571428571428,8.460946392758416,4.61225e-06,1032
16,7,4,16,85.28,0.0057327920005416,12,46371.5,36960,192.0,0.7553416510836578,77.0,7.553416510836578,4.89315e-06,1032
16,8,4,16,85.21,0.0057363572327031,11,45099.0,36952,176.0,0.7753414884911559,83.98181818181818,7.753414884911559,4.7659e-06,1032
16,9,4,16,85.64,0.0058378420654399,10,40424.0,36432,160.0,0.847571189279732,91.08,8.47571189279732,4.2984e-06,1032
16,10,4,16,85.36,0.0059049569651386,9,38067.0,35400,144.0,0.8713417185615477,98.33333333333334,8.713417185615477,4.0627e-06,1032
16,11,4,16,85.36,0.0056667870777893,9,43645.5,37704,144.0,0.816006752442891,104.73333333333332,8.16006752442891,4.620549999999999e-06,1032
16,12,4,16,85.28999999999999,0.0053707562726409,9,52690.5,40008,144.0,0.7241201437091067,111.13333333333333,7.241201437091068,5.525049999999999e-06,1032
16,3,4,32,85.39999999999999,0.0059552983157914,13,43480.25,36456,208.0,0.7918288888526887,70.10769230769232,7.918288888526886,4.604025e-06,1800
16,4,4,32,85.61,0.0059418437380142,10,40399.0,33872,160.0,0.7884727298121464,84.68,7.884727298121464,4.295900000000001e-06,1800
16,5,4,32,85.58,0.005741594985388,9,43428.0,35400,144.0,0.7697660259198051,98.33333333333334,7.697660259198051,4.5988e-06,1800
16,6,4,32,85.28999999999999,0.0053707562726409,9,52652.25,40008,144.0,0.7246218004156686,111.13333333333333,7.246218004156686,5.521225e-06,1800
