NZr,NZc,Tr,Tc,Accuracy (%),MSE,Nsteps,Compressed Memory Footprint (byte),Nops,Ncycles,CTC (Ops/byte),CP (GOps/s),AttPerf (GOps/s),Execution Time (s),DSP Usage,Simulated Ncycles,Simulated Execution Time (s)
5,16,16,8,81.81818181818183,0.0056945567347737,28,50484.0,25116,560,0.48044991965720407,6.7275,4.80449919657204,5.2276000000000006e-06,120,594,3.96e-06
5,18,16,8,81.81818181818183,0.0053783827610245,28,52276.0,26012,560,0.4810978767477991,6.9675,4.810978767477991,5.4068000000000005e-06,120,596,3.973333333333333e-06
5,20,16,8,81.81818181818183,0.0054844177721279,24,46344.0,23064,480,0.47914242978228355,7.2075,4.791424297822836,4.813599999999999e-06,120,514,3.4266666666666668e-06
6,14,16,8,81.56565656565657,0.0051957242985975,32,63840.0,31776,768,0.4841540711847879,6.20625,4.8415407118478795,6.5632e-06,120,801,5.34e-06
6,16,16,8,81.56565656565657,0.004441994657087,41,84419.0,42025,984,0.48746679658048275,6.40625,4.874667965804828,8.621100000000001e-06,120,1028,6.8533333333333335e-06
6,18,16,8,82.07070707070707,0.004591508569104,34,72182.0,35938,816,0.4858193419309487,6.60625,4.858193419309488,7.3974e-06,120,855,5.7e-06
6,20,16,8,81.81818181818183,0.0045033788066635,32,69984.0,34848,768,0.485510477039679,6.80625,4.85510477039679,7.1776000000000005e-06,120,807,5.38e-06
7,14,16,8,81.56565656565657,0.0046208665893807,34,76534.0,38114,952,0.4866072568495774,6.005357142857143,4.866072568495774,7.8326e-06,120,984,6.56e-06
7,16,16,8,81.56565656565657,0.0041150717101647,39,90285.0,44967,1092,0.4883630005321633,6.176785714285715,4.883630005321633,9.2077e-06,120,1131,7.54e-06
7,18,16,8,81.56565656565657,0.004921298166343,23,54717.0,27255,644,0.48231255198287,6.348214285714286,4.8231255198287,5.6508999999999995e-06,120,669,4.46e-06
7,20,16,8,81.81818181818183,0.0039047937353407,35,85505.0,42595,980,0.4879320022452089,6.519642857142857,4.879320022452089,8.729699999999999e-06,120,1019,6.793333333333333e-06
8,14,16,8,82.07070707070707,0.0040561946728633,36,90252.0,44964,1152,0.48850549737082266,5.8546875,4.885054973708226,9.2044e-06,120,1183,7.886666666666667e-06
8,16,16,8,81.56565656565657,0.0052714551737817,18,46278.0,23058,576,0.47967547326815063,6.0046875,4.7967547326815065,4.807e-06,120,591,3.94e-06
8,18,16,8,82.82828282828282,0.0054029927756898,15,39525.0,19695,480,0.47668030108671977,6.1546875,4.766803010867198,4.1317e-06,120,494,3.2933333333333333e-06
8,20,16,8,81.81818181818183,0.0051603534303713,15,40485.0,20175,480,0.4772098304042387,6.3046875,4.772098304042387,4.2277e-06,120,496,3.3066666666666666e-06
2,18,32,8,82.07070707070707,0.0052936306375376,38,61142.0,30438,684,0.4836495376108304,6.675,4.836495376108304,6.293400000000001e-06,200,729,4.86e-06
3,14,32,8,81.81818181818183,0.004796785755963,41,81713.0,40713,574,0.4875516436141548,10.639285714285714,4.875516436141548,8.3505e-06,200,623,4.153333333333333e-06
3,20,32,8,81.81818181818183,0.0047142822633837,30,65550.0,32670,600,0.48513557660895135,8.1675,4.8513557660895135,6.7342e-06,200,638,4.253333333333333e-06
4,14,32,8,82.07070707070707,0.0040561946728633,36,90180.0,44964,576,0.48888792241116863,11.709375,4.888879224111687,9.197199999999999e-06,200,619,4.126666666666666e-06
4,16,32,8,81.56565656565657,0.0052714551737817,18,46242.0,23058,288,0.4800349752258817,12.009375,4.800349752258817,4.8034e-06,200,315,2.1e-06
4,18,32,8,82.82828282828282,0.0054029927756898,15,39495.0,19695,270,0.4770266669896093,10.941666666666666,4.770266669896094,4.1287e-06,200,294,1.96e-06
4,20,32,8,81.81818181818183,0.0051603534303713,15,40455.0,20175,300,0.47754870168295976,10.0875,4.775487016829597,4.2246999999999995e-06,200,324,2.16e-06
32,22,2,8,82.32323232323232,0.0046727861700326,27,47709.0,23355,3456,0.47180865033029634,1.013671875,1.013671875,2.304e-05,50,3414,2.276e-05
32,24,2,8,82.07070707070707,0.0046879161415857,25,45775.0,22425,3200,0.47144028423066414,1.051171875,1.051171875,2.133333333333333e-05,50,3158,2.1053333333333334e-05
32,6,2,16,81.56565656565657,0.0057921510385763,32,46256.0,22560,4096,0.4695304695304695,0.826171875,0.826171875,2.7306666666666667e-05,90,4044,2.696e-05
32,7,2,16,81.56565656565657,0.0054259451805523,32,48304.0,23584,4096,0.47077610986905144,0.863671875,0.863671875,2.7306666666666667e-05,90,4045,2.6966666666666667e-05
40,22,2,8,81.81818181818183,0.0045159715562302,24,48552.0,23832,3840,0.4733831241061497,0.9309375,0.9309375,2.56e-05,50,3771,2.514e-05
40,24,2,8,81.56565656565657,0.0042174607017764,26,54262.0,26650,4160,0.4754344025404075,0.9609375,0.9609375,2.773333333333333e-05,50,4095,2.73e-05
40,6,2,16,81.56565656565657,0.0047828323196993,42,71463.0,34986,6720,0.47759197324414715,0.7809375,0.7809375,4.48e-05,90,6654,4.436e-05
40,7,2,16,81.81818181818183,0.0052125459024297,29,51199.5,25085,4640,0.47337780587452705,0.8109375,0.8109375,3.093333333333334e-05,90,4562,3.0413333333333332e-05
48,22,2,8,81.81818181818183,0.0048946523594863,17,38743.0,19057,3264,0.470136918712224,0.87578125,0.87578125,2.176e-05,50,3164,2.1093333333333334e-05
48,24,2,8,82.07070707070707,0.0045188716481885,19,44517.0,21907,3648,0.4730613919540478,0.90078125,0.90078125,2.432e-05,50,3552,2.368e-05
48,6,2,16,82.07070707070707,0.005720567412798,24,46980.0,23064,4608,0.47289428360534735,0.75078125,0.75078125,3.072e-05,90,4500,3e-05
48,7,2,16,81.81818181818183,0.0047977830933758,31,62666.5,30783,5952,0.4775630832240899,0.77578125,0.77578125,3.968e-05,90,5852,3.9013333333333335e-05
56,22,2,8,83.08080808080808,0.0048517408515115,16,40560.0,19984,3584,0.471854930109558,0.8363839285714285,0.8363839285714285,2.3893333333333337e-05,50,3459,2.306e-05
56,24,2,8,82.32323232323232,0.0050111594159549,14,36386.0,17934,3136,0.46974697469746973,0.8578125,0.8578125,2.0906666666666668e-05,50,3011,2.0073333333333333e-05
56,6,2,16,81.56565656565657,0.0055037212248837,24,53124.0,26136,5376,0.47592687012892415,0.7292410714285714,0.7292410714285714,3.584e-05,90,5244,3.496e-05
